iter	Passed	Remaining
841	4528	849
842	4529	843
843	4530	837
844	4531	831
845	4532	825
846	4533	818
847	4535	812
848	4536	806
849	4537	800
850	4539	794
851	4541	788
852	4542	782
853	4543	776
854	4544	770
855	4546	764
856	4547	758
857	4548	752
858	4551	747
859	4555	741
860	4557	735
861	4558	729
862	4560	723
863	4561	718
864	4562	712
865	4563	706
866	4565	700
867	4566	694
868	4569	688
869	4571	683
870	4573	677
871	4574	671
872	4575	665
873	4576	659
874	4578	654
875	4579	648
876	4580	642
877	4581	636
878	4585	631
879	4586	625
880	4587	619
881	4588	613
882	4589	608
883	4590	602
884	4591	596
885	4592	590
886	4593	585
887	4594	579
888	4595	573
889	4597	568
890	4598	562
891	4599	556
892	4600	551
893	4601	545
894	4602	540
895	4604	534
896	4605	528
897	4606	523
898	4607	517
899	4608	512
900	4610	506
901	4611	500
902	4612	495
903	4613	489
904	4614	484
905	4615	478
906	4616	473
907	4617	467
908	4618	462
909	4620	456
910	4621	451
911	4622	445
912	4623	440
913	4624	435
914	4625	429
915	4626	424
916	4632	419
917	4634	413
918	4635	408
919	4637	403
920	4638	397
921	4639	392
922	4640	387
923	4643	381
924	4644	376
925	4646	371
926	4647	365
927	4648	360
928	4650	355
929	4652	350
930	4653	344
931	4655	339
932	4656	334
933	4658	329
934	4660	323
935	4661	318
936	4663	313
937	4664	308
938	4665	303
939	4667	297
940	4668	292
941	4672	287
942	4673	282
943	4675	277
944	4676	272
945	4678	267
946	4679	261
947	4681	256
948	4682	251
949	4684	246
950	4687	241
951	4688	236
952	4690	231
953	4691	226
954	4693	221
955	4694	216
956	4695	210
957	4696	205
958	4698	200
959	4699	195
960	4703	190
961	4704	185
962	4705	180
963	4707	175
964	4708	170
965	4709	165
966	4711	160
967	4712	155
968	4714	150
969	4717	145
970	4719	140
971	4720	135
972	4721	131
973	4723	126
974	4724	121
975	4725	116
976	4727	111
977	4728	106
978	4729	101
979	4732	96
980	4733	91
981	4735	86
982	4736	81
983	4738	77
984	4739	72
985	4740	67
986	4741	62
987	4743	57
988	4744	52
989	4747	47
990	4748	43
991	4749	38
992	4751	33
993	4752	28
994	4753	23
995	4755	19
996	4756	14
997	4757	9
998	4758	4
999	4759	0
