iter	Passed	Remaining
827	1698	352
828	1700	350
829	1702	348
830	1704	346
831	1705	344
832	1707	342
833	1709	340
834	1710	338
835	1712	335
836	1714	333
837	1715	331
838	1717	329
839	1719	327
840	1720	325
841	1722	323
842	1724	321
843	1725	318
844	1727	316
845	1729	314
846	1730	312
847	1732	310
848	1733	308
849	1735	306
850	1736	304
851	1738	301
852	1740	299
853	1741	297
854	1743	295
855	1745	293
856	1746	291
857	1748	289
858	1750	287
859	1752	285
860	1753	283
861	1755	281
862	1757	278
863	1758	276
864	1760	274
865	1761	272
866	1763	270
867	1765	268
868	1766	266
869	1768	264
870	1769	262
871	1771	260
872	1773	257
873	1775	255
874	1776	253
875	1779	251
876	1781	249
877	1783	247
878	1786	245
879	1787	243
880	1789	241
881	1791	239
882	1792	237
883	1794	235
884	1796	233
885	1797	231
886	1799	229
887	1800	227
888	1802	225
889	1804	222
890	1805	220
891	1807	218
892	1809	216
893	1810	214
894	1812	212
895	1814	210
896	1815	208
897	1817	206
898	1819	204
899	1821	202
900	1823	200
901	1825	198
902	1826	196
903	1828	194
904	1830	192
905	1831	190
906	1833	188
907	1835	185
908	1837	183
909	1840	182
910	1842	180
911	1844	177
912	1846	175
913	1849	173
914	1850	171
915	1852	169
916	1854	167
917	1856	165
918	1857	163
919	1859	161
920	1860	159
921	1862	157
922	1864	155
923	1866	153
924	1867	151
925	1869	149
926	1871	147
927	1872	145
928	1874	143
929	1876	141
930	1878	139
931	1879	137
932	1881	135
933	1883	133
934	1884	130
935	1885	128
936	1887	126
937	1888	124
938	1890	122
939	1892	120
940	1893	118
941	1895	116
942	1896	114
943	1898	112
944	1900	110
945	1901	108
946	1903	106
947	1905	104
948	1907	102
949	1909	100
950	1910	98
951	1912	96
952	1914	94
953	1916	92
954	1918	90
955	1920	88
956	1921	86
957	1923	84
958	1924	82
959	1926	80
960	1928	78
961	1930	76
962	1931	74
963	1933	72
964	1935	70
965	1936	68
966	1938	66
967	1940	64
968	1941	62
969	1943	60
970	1944	58
971	1946	56
972	1948	54
973	1949	52
974	1951	50
975	1952	48
976	1954	46
977	1956	44
978	1957	41
979	1959	39
980	1961	37
981	1964	36
982	1966	34
983	1968	32
984	1969	29
985	1971	27
986	1972	25
987	1974	23
988	1976	21
989	1978	19
990	1979	17
991	1981	15
992	1983	13
993	1984	11
994	1986	9
995	1988	7
996	1990	5
997	1991	3
998	1993	1
999	1994	0
